Year,Team,Total Prize Money (Year),Number of Tournaments
2020,Turnso Gaming,"$2,424,828.63 ",1
2020,Dallas Empire,"$1,749,250.00 ",1
2020,Team Liquid,"$1,646,769.88 ",1
2020,San Francisco Shock,"$1,565,000.00 ",1
2020,Spacestation Gaming,"$1,430,798.66 ",1
2020,Virtus.pro,"$1,408,799.79 ",1
2020,G2 Esports,"$1,293,837.81 ",1
2020,Team SoloMid,"$1,262,514.12 ",1
2020,Atlanta Faze,"$1,203,000.00 ",1
2020,Team Secret,"$1,199,303.49 ",1
2020,Natus Vincere,"$1,154,221.66 ",1
2020,Fnatic,"$1,043,849.48 ",1
2020,Four Angry Men,"$1,009,282.10 ",1
2020,Vitality,"$935,847.23 ",1
2020,Top Esports,"$907,897.39 ",1
2020,Nova eSports,"$907,331.20 ",1
2020,OG,"$903,772.58 ",1
2020,Ninjas in Pyjamas,"$843,690.53 ",1
2020,Royal Never Give Up,"$836,404.24 ",1
2020,compLexity Gaming,"$833,295.70 ",1
2020,Seoul Dynasty,"$780,000.00 ",1
2020,Chicago Huntsmen,"$773,750.00 ",1
2020,MAD Lions,"$720,719.50 ",1
2020,DAMWON Gaming,"$718,014.86 ",1
2020,Vici Gaming,"$714,107.34 ",1
2020,FaZe Clan,"$711,648.18 ",1
2020,Paris Saint-Germain Esports,"$704,805.09 ",1
2020,Evil Geniuses,"$690,080.20 ",1
2020,Invictus Gaming,"$689,687.53 ",1
2020,Astralis,"$631,500.00 ",1
2020,JD Gaming,"$620,977.28 ",1
2020,Elite Esports,"$607,545.00 ",1
2020,MIBR,"$597,091.89 ",1
2020,Gambit Esports,"$593,630.01 ",1
2020,BIG,"$591,396.51 ",1
2020,Team BDS,"$579,703.54 ",1
2020,Cloud9,"$570,937.84 ",1
2020,Gen.G Esports,"$542,990.71 ",1
2020,London Royal Ravens,"$536,650.00 ",1
2020,Shanghai Dragons,"$535,000.00 ",1
2020,Buriram United Esports,"$524,663.94 ",1
2020,NRG Esports,"$521,647.67 ",1
2020,Nigma,"$517,614.00 ",1
2020,mousesports,"$502,823.06 ",1
2020,Suning,"$476,843.44 ",1
2020,Qiao Gu Reapers,"$467,389.55 ",1
2020,T1,"$465,022.99 ",1
2020,FURIA Esports,"$441,306.59 ",1
2020,Alliance,"$437,769.40 ",1
2020,ALTERNATE aTTaX,"$402,290.54 ",1
2020,Philadelphia Fusion,"$395,000.00 ",1
2020,Rogue,"$392,931.33 ",1
2020,Heroic,"$385,500.00 ",1
2020,Toronto Ultra,"$370,000.00 ",1
2020,Jin Air Green Wings,"$367,854.02 ",1
2020,Florida Mutineers,"$365,000.00 ",1
2020,eStar Gaming,"$363,250.54 ",1
2020,OpTic Gaming Los Angeles,"$360,000.00 ",1
2020,Bigetron eSports,"$350,000.00 ",1
2020,LGD Gaming,"$340,914.28 ",1
2020,Team Spirit,"$340,250.00 ",1
2020,Red Bull eSports,"$330,780.13 ",1
2020,Talon Esports,"$326,135.34 ",1
2020,100 Thieves,"$325,405.35 ",1
2020,Afreeca Freecs,"$324,471.87 ",1
2020,UYU,"$301,465.90 ",1
2020,Giants Gaming,"$280,296.01 ",1
2020,New York Excelsior,"$275,000.00 ",1
2020,DarkZero Esports,"$271,250.00 ",1
2020,Team Singularity,"$262,706.91 ",1
2020,Chaos Esports Club,"$262,550.21 ",1
2020,Renegades,"$256,598.00 ",1
2020,New York Subliners,"$255,700.00 ",1
2020,Washington Justice,"$255,000.00 ",1
2020,FunPlus Phoenix,"$254,014.00 ",1
2020,INTZ eSports,"$237,631.04 ",1
2020,Pittsburgh Knights,"$234,369.48 ",1
2020,forZe,"$231,978.19 ",1
2020,ENCE eSports,"$231,716.97 ",1
2020,HAVU Gaming,"$230,211.35 ",1
2020,DragonX,"$228,067.34 ",1
2020,Tempo Storm,"$226,108.78 ",1
2020,Team Dignitas,"$225,622.36 ",1
2020,Team Envy,"$224,812.39 ",1
2020,Vikin.gg,"$223,838.81 ",1
2020,King of Gamers Club,"$223,422.68 ",1
2020,Susquehanna Soniqs,"$222,036.11 ",1
2020,BOOM Esports,"$218,120.23 ",1
2020,Team Reciprocity,"$216,397.36 ",1
2020,Team Empire,"$216,028.40 ",1
2020,Team QLASH,"$215,440.89 ",1
2020,Flash Wolves,"$211,101.20 ",1
2020,Team Aster,"$204,778.29 ",1
2020,GODSENT,"$199,303.59 ",1
2020,World Elite,"$198,570.34 ",1
2020,Endpoint,"$197,345.40 ",1
2020,EHOME,"$197,296.44 ",1
2020,Wildcard Gaming,"$195,985.74 ",1
2020,Nordavind,"$193,150.15 ",1
2020,Team Flash,"$191,979.33 ",1
2020,Tribe Gaming,"$183,351.00 ",1
2020,FlyToMoon,"$182,661.00 ",1
2020,Quincy Crew,"$181,422.00 ",1
2020,DetonatioN,"$174,218.98 ",1
2020,Minnesota RØKKR,"$173,000.00 ",1
