Year,Game,Total Prize Money (Year),Number of Players,Number of Tournaments
2020,Counter-Strike: Global Offensive,"$15,937,064.57 ",2979,591
2020,Arena of Valor,"$9,500,997.45 ",255,13
2020,Dota 2,"$9,372,569.73 ",979,155
2020,Fortnite,"$8,876,401.39 ",1681,127
2020,League of Legends,"$8,466,911.57 ",1783,110
2020,Call of Duty: Modern Warfare,"$7,152,172.00 ",334,71
2020,PLAYERUNKNOWN'S BATTLEGROUNDS Mobile,"$6,492,507.95 ",594,18
2020,Overwatch,"$5,763,561.00 ",419,21
2020,Rainbow Six Siege,"$5,635,408.30 ",727,60
2020,PLAYERUNKNOWN’S BATTLEGROUNDS,"$5,101,127.92 ",1070,75
2020,Hearthstone,"$4,272,396.82 ",437,48
2020,Rocket League,"$3,971,705.52 ",841,293
2020,Call of Duty: Warzone,"$2,825,407.12 ",611,106
2020,VALORANT,"$2,370,199.71 ",2186,308
2020,Apex Legends,"$2,224,469.05 ",660,207
2020,StarCraft II,"$2,159,775.84 ",323,390
2020,FIFA 20,"$1,641,587.80 ",237,41
2020,Magic: The Gathering Arena,"$1,600,000.00 ",51,4
2020,Gears 5,"$1,223,000.00 ",143,16
2020,Clash of Clans,"$1,212,811.00 ",136,15
2020,chess24,"$1,184,696.09 ",61,10
2020,Lichess,"$1,140,686.93 ",287,64
2020,Brawl Stars,"$1,056,250.00 ",35,2
2020,Chess.com,"$790,281.92 ",441,91
2020,F1 2020,"$751,947.00 ",39,2
2020,CrossFire,"$718,986.52 ",75,6
2020,iRacing.com,"$674,078.65 ",449,36
2020,Free Fire,"$598,779.11 ",205,6
2020,Brawlhalla,"$594,841.60 ",288,104
2020,WarCraft III: Reforged,"$556,203.44 ",83,114
2020,FIFA Online 4,"$404,120.00 ",56,5
2020,Paladins,"$393,630.97 ",166,18
2020,Age of Empires II,"$381,838.20 ",414,218
2020,Teamfight Tactics,"$370,029.00 ",39,4
2020,Super Smash Bros. Ultimate,"$308,808.36 ",599,280
2020,Quake Champions,"$302,899.03 ",40,9
2020,Hyper Scape,"$299,000.00 ",260,4
2020,Minecraft,"$294,700.00 ",60,4
2020,Fall Guys,"$284,273.83 ",240,5
2020,Call of Duty: Black Ops Cold War,"$253,000.00 ",107,13
2020,StarCraft: Brood War,"$246,095.94 ",106,64
2020,Assetto Corsa,"$235,634.41 ",120,31
2020,Clash Royale,"$224,600.00 ",51,5
2020,Hearthstone Battlegrounds,"$203,630.00 ",40,4
2020,NASCAR Heat 4,"$200,500.00 ",34,5
2020,Forza Motorsport 7,"$199,000.00 ",64,3
2020,Farming Simulator 19,"$189,253.45 ",66,6
2020,Gwent,"$186,720.00 ",22,5
2020,Mortal Kombat 11,"$182,259.57 ",77,7
2020,Street Fighter V: Champion Edition,"$173,410.22 ",52,48
2020,rFactor 2,"$163,457.06 ",87,24
2020,Super Smash Bros. Melee,"$157,502.23 ",112,26
2020,Tekken 7,"$156,917.56 ",88,43
2020,Legends of Runeterra,"$118,481.03 ",30,5
2020,Escape from Tarkov,"$114,600.00 ",150,4
2020,Granblue Fantasy: Versus,"$106,280.94 ",45,43
2020,Diabotical,"$103,859.92 ",239,78
2020,Rocket Arena,"$100,000.00 ",24,3
2020,Dragon Ball FighterZ,"$94,116.31 ",73,38
2020,RaceRoom Racing Experience,"$79,035.00 ",38,9
2020,WarCraft III,"$72,425.80 ",18,8
2020,Among Us,"$66,000.00 ",10,6
2020,Auto Chess,"$60,098.00 ",42,2
2020,Trackmania (2020),"$59,918.61 ",99,59
2020,Multigaming,"$59,109.70 ",8,1
2020,Halo: Reach,"$50,000.00 ",32,1
2020,Rogue Company,"$50,000.00 ",48,2
2020,Spellbreak,"$50,000.00 ",42,1
2020,Dead By Daylight,"$45,000.00 ",30,6
2020,TrackMania 2: Stadium,"$40,160.09 ",202,86
2020,F1 2019,"$38,047.38 ",3,1
2020,Zwift,"$33,827.08 ",6,2
2020,Playchess.com,"$32,866.58 ",116,9
2020,Identity V,"$31,911.10 ",6,1
2020,Call of Duty: Black Ops 4,"$30,000.00 ",14,2
2020,Soul Calibur VI,"$27,582.77 ",41,26
2020,Rivals of Aether,"$20,833.62 ",27,8
2020,Street Fighter V: Arcade Edition,"$20,286.12 ",19,3
2020,UNO,"$20,000.00 ",16,2
2020,Shadowverse,"$19,700.00 ",35,5
2020,BlazBlue: Cross Tag Battle,"$14,026.79 ",34,6
2020,Samurai Shodown (2019),"$13,223.40 ",23,5
2020,Prophecy,"$13,000.00 ",27,4
2020,Call of Duty: Black Ops 2,"$12,000.00 ",4,1
2020,Age of Empires,"$11,954.00 ",50,1
2020,Team Fortress 2,"$11,403.92 ",166,7
2020,Tetris,"$10,926.38 ",23,4
2020,osu!,"$10,890.00 ",303,4
2020,Dirt Rally 2.0,"$10,000.00 ",5,2
2020,Internet Chess Club,"$10,000.00 ",6,1
2020,Old School Runescape,"$9,004.20 ",14,2
2020,Age of Empires III,"$8,123.00 ",64,10
2020,Guilty Gear Xrd REV 2,"$7,134.00 ",19,6
2020,Heroes of the Storm,"$6,745.00 ",33,4
2020,Under Night In-Birth EXE: Late[st],"$6,036.89 ",21,4
2020,Assetto Corsa Competizione,"$5,338.00 ",10,13
2020,Ultimate Marvel vs. Capcom 3,"$4,786.90 ",13,5
2020,QuakeWorld,"$4,168.00 ",6,1
2020,Fantasy Strike,"$3,860.00 ",18,3
2020,Melty Blood: Actress Again Current Code,"$3,784.93 ",34,10
2020,Unreal Tournament (2016),"$3,698.92 ",65,3
2020,Guilty Gear XX Accent Core Plus R,"$3,576.91 ",18,5
2020,Dota Underlords,"$3,388.50 ",12,7
2020,Xonotic,"$3,340.39 ",63,13
2020,Gran Turismo Sport,"$3,331.00 ",59,3
2020,BlazBlue: Central Fiction,"$3,296.84 ",11,6
2020,Tetr.io,"$2,992.61 ",19,11
2020,Pokkén Tournament DX,"$2,936.43 ",9,4
2020,Lethal League Blaze,"$2,910.02 ",16,4
2020,Call of Duty: Modern Warfare 2,"$2,500.00 ",4,1
2020,Nascar Heat 5,"$2,500.00 ",10,1
2020,Doom II: Hell on Earth,"$2,480.00 ",7,3
2020,Live for Speed,"$2,380.00 ",6,1
2020,Skullgirls 2nd Encore,"$1,984.50 ",14,3
2020,Mystery Game Tournament,"$1,920.00 ",8,1
2020,Touhou Hisoutensoku ~ Choudokyuu Ginyoru no Nazo o Oe,"$1,819.61 ",17,4
2020,Puyo Puyo Tetris,"$1,805.09 ",12,9
2020,Vampire Savior,"$1,667.21 ",9,4
2020,Super Smash Bros.,"$1,547.18 ",23,6
2020,Eternal Fighter Zero,"$1,311.60 ",7,2
2020,Mario Kart 8 Deluxe,"$1,305.00 ",24,2
2020,King of Fighters XIV,"$1,270.00 ",8,3
2020,Splatoon 2,"$1,270.00 ",13,1
2020,Age of Empires Online,"$1,246.56 ",9,3
2020,Artifact Classic,"$1,229.85 ",29,20
2020,Under Night In-Birth Exe:Late[cl-r],"$1,108.00 ",10,3
2020,Windjammers,"$1,040.00 ",13,3
2020,Street Fighter III: 3rd Strike,$980.00 ,11,2
2020,Tatsunoko vs. Capcom: Ultimate All-Stars,$914.66 ,5,7
